status,product_area,response,justification,request_type
escalated,account_management,Ask the workspace owner/admin or Claude Support to restore access. This agent cannot change workspace membership or ownership.,Deterministic risk gate overrode reply: account access or admin-only action,product_issue
escalated,screen,"Contact the recruiter or hiring team for score, assessment, or hiring-outcome disputes. This agent cannot change scores or hiring decisions.","Deterministic risk gate overrode reply: assessment score, recruiter, or candidate outcome dispute",product_issue
replied,general_support,"Merchants I have concerns about a place where I used my Visa card. Please note, Visa does not set up, service or have access to cardholder or merchant accounts. Each financial institution has its own criteria for issuing Visa cards, how it manages statements, etc. Reference: https://www.visa.co.in/support.html",Grounded in data/visa/support.md.,product_issue
replied,community,"Once purchased, mock interview credits do not expire. 2. Go to the Prepare tab and locate Mock Interviews for you section 3. Click Buy Mock Interviews on any of the listed mock interview cards. 4. Choose the number of mock interviews you want to buy. 5. Click Buy Now to proceed to the payment gateway. 6. Enter your payment details and complete the transaction. Reference: https://help.hackerrank.com/articles/3282259518-purchase-mock-interviews",Grounded in data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md.,bug
replied,settings,"Manage Billing Updating credit card information Updating billing address Downloading an invoice The Billing section in HackerRank for Work allows administrators to update payment methods and billing information, and download invoices. Updating credit card information You can update your payment method to prevent service disruptions caused by expired or outdated card details. To update your credit card: 1. Log in to HackerRank for Work using your credentials. 2. Go to Manage Subscription from the profile drop-down. Reference: https://support.hackerrank.com/articles/4255542979-manage-subscriptions",Grounded in data/hackerrank/settings/user-account-settings-and-preferences/4255542979-manage-subscriptions.md.,product_issue
escalated,screen,"A human support specialist should handle security review, procurement, or custom form requests.",Deterministic risk gate overrode reply: security/procurement review or custom forms,product_issue
replied,community,"2. Go to the Apply tab to view available developer jobs. 3. Refine the job list using the following filters: Role: Select a role that matches your expertise (For example, Back-End Engineer or Data Analyst). Experience level: Choose an experience level (For example, 0–3 years, 3–5 years, or 5–7 years). Company: Select the company you want to apply to. 4. Select a job title to view the job description, which includes required skills, experience, qualifications, and responsibilities. Reference: https://help.hackerrank.com/articles/1560975739-search-for-jobs",Grounded in data/hackerrank/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md.,bug
escalated,general_help,Escalate this service outage or failing product feature to a human support specialist. Do not provide unrelated how-to steps.,Deterministic risk gate overrode reply: service outage or broad platform failure,bug
replied,interviews,"Tip: Ask the candidate to share their entire screen rather than a single application window for better evaluation. Note: Screen sharing is available only after you start a video call. Pop-out View: Opens the video call in a separate browser tab, useful when using multiple monitors. Reference: https://support.hackerrank.com/articles/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom",Grounded in data/hackerrank/interviews/getting-started/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md.,bug
replied,general_help,"HackerRank does not participate in hiring decisions. HackerRank redirects all such requests to your recruiter or hiring team to ensure your organization retains full decision control. The HackerRank team is not authorized to share test results, reschedule assessments or interviews, grant testing accommodations, or modify your hiring workflow. Reference: https://support.hackerrank.com/articles/6477583642-ensuring-a-great-candidate-experience",Grounded in data/hackerrank/general-help/additional-resources/6477583642-ensuring-a-great-candidate-experience.md.,product_issue
replied,interviews,"You can do this by clicking on the down arrow beside the candidate's name and then clicking on the Move button. Also, candidates are automatically pushed back to the lobby when all the interviewers leave the interview. Interviewer Lobby With multiple interviewers accessing the same link for an interview, there are chances of interviewers or recruiters abruptly entering the interview while it is already in progress. Reference: https://support.hackerrank.com/articles/1151935613-using-virtual-lobby-in-hackerrank-interviews",Grounded in data/hackerrank/interviews/interview-settings/1151935613-using-virtual-lobby-in-hackerrank-interviews.md.,product_issue
replied,,I need the product or company and a more specific issue before I can answer from the support corpus.,The ticket is too vague to route to a supported domain or retrieve grounded evidence.,invalid
escalated,settings,Ask a company admin or HackerRank Support to handle this user or role-management change. Do not use candidate-data deletion steps for interviewer or employee removal.,Deterministic risk gate overrode reply: account access or admin-only action,product_issue
replied,settings,"Pause Subscription The Pause Subscription feature allows individual self-serve plan subscribers to temporarily pause their HackerRank subscription instead of canceling it. This feature enables you to resume your subscription whenever needed, ensuring flexibility and uninterrupted access when required. Prerequisites To use the Pause Subscription feature, ensure the following conditions are met: 1. You must have an active subscription that started at least 30 days ago. Reference: https://support.hackerrank.com/articles/5157311476-pause-subscription",Grounded in data/hackerrank/settings/user-account-settings-and-preferences/5157311476-pause-subscription.md.,product_issue
escalated,claude_api_and_console,"Escalate this broad Claude service or API failure to Claude Support. If this is API-related, also check basic connectivity, firewall, network, and VPN settings from the troubleshooting docs.",Deterministic risk gate overrode reply: service outage or broad platform failure,bug
replied,general_support,What should I do if my Visa card has been lost or stolen? Visa does not call or email cardholders and request personal information. My identity has been stolen – what should I do? Visit our Lost or Stolen card page – if the identity theft involves your Visa card – to learn how to cancel your card or get an emergency replacement card. Reference: https://www.visa.co.in/support.html,Grounded in data/visa/support.md.,product_issue
escalated,community,Escalate this service outage or failing product feature to a human support specialist. Do not provide unrelated how-to steps.,Deterministic risk gate overrode reply: service outage or broad platform failure,bug
replied,community,"You can update the name on your certificate only once per account. When you update your name, the change applies to all your certificates. To update the name on your certificate: 1. Open your certificate page. 2. In the Full Name field, enter the name you want to display. 3. Click Regenerate Certificate. 4. In the confirmation dialog, click Update Name. Reference: https://help.hackerrank.com/articles/8941367927-certifications-faqs",Grounded in data/hackerrank/hackerrank_community/certifications/8941367927-certifications-faqs.md.,product_issue
replied,general_support,"How do I dispute a charge? To dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge. Reference: https://www.visa.co.in/support.html",Grounded in data/visa/support.md.,product_issue
replied,safeguards,"Report a security vulnerability The security of our systems and user data is Anthropic’s top priority. We appreciate the work of security researchers acting in good faith in identifying and reporting potential vulnerabilities. Please review our Responsible Disclosure Policy, which includes a section on *How to Submit a Report*. Reference: https://support.claude.com/en/articles/11427875-public-vulnerability-reporting",Grounded in data/claude/safeguards/11427875-public-vulnerability-reporting.md.,bug
replied,privacy_and_legal,"Does Anthropic crawl data from the web, and how can site owners block the crawler? As per industry standard, Anthropic uses a variety of robots to gather data from the public web for model development, to search the web, and to retrieve web content at users’ direction. Anthropic uses different robots to enable website owner transparency and choice. Anthropic uses the Bots described above to access web content. Reference: https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler",Grounded in data/claude/privacy-and-legal/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md.,product_issue
replied,travel_support,"Visa cards that bear the PLUS logo can be used for cash withdrawals, using the same PIN at ATMs worldwide. Click here to locate ATMs. GCAS can help you block your Visa card within 30 minutes once it has been reported stolen or lost, protecting you against fraudulent transactions. Contact us Explore Destinations Reference: https://www.visa.co.in/support/consumer/travel-support.html",Grounded in data/visa/support/consumer/travel-support.md.,product_issue
replied,account_management,"I would like to input sensitive data into my chats with Claude. Claude Free, Pro, Max (and when using Claude Code with those accounts)).* How We Protect Your Data When You Help Improve Claude When you allow us to use your chats or coding sessions to help improve Claude, we implement several layers of protection for your privacy. Privacy Protections We Provide We automatically de-link your data from your user ID (like your email address) before any review. Reference: https://support.claude.com/en/articles/8325621-i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-conversations",Grounded in data/claude/claude/account-management/8325621-i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-conversations.md.,product_issue
escalated,,I cannot provide destructive system commands. A human support specialist should review the request if product support is needed.,Deterministic risk gate overrode reply: unsafe local system operation,invalid
